<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
，	99298
。	16931
；	12663
中	6229
制成	5848
具有	5262
治疗	5229
：	4992
中药	4814
混合	4698
原料	4678
制备方法	4206
组合物	4080
药物	3924
制备	3577
用于	3230
粉碎	3230
过滤	3218
干燥	2805
浓缩	2746
搅拌	2661
功效	2611
加	2457
煎煮	2452
粉	2417
所述	2394
均匀	2375
滤液	2329
乙醇	2260
提取物	2203
即得	2162
加水	2146
制剂	2103
合并	2022
提取	1991
取	1870
。治疗	1832
即可	1822
成	1806
组成	1553
放入	1549
浸泡	1458
备用	1450
植物	1449
当归	1441
甘草	1424
提取液	1404
液	1402
水	1355
疾病	1342
成分	1265
时	1247
药液	1225
黄芪	1185
溶液	1146
营养	1141
提高	1119
药	1110
保健	1102
功能	1097
片剂	1077
滤过	1061
辅料	1051
药渣	1050
烘干	1025
胶囊	1020
混匀	1015
药材	1014
含有	968
热	967
回收	964
颗粒	957
所得	944
冷	937
重量	931
浸膏	928
丹参	919
而成	916
茯苓	902
改善	899
洗净	883
步骤	861
川芎	857
包装	852
活性	851
增强	840
溶解	831
组分	829
灭菌	827
过筛	820
干	805
取出	803
产品	770
金银花	769
预防	756
颗粒剂	753
人体	747
添加	746
粉末	737
次	736
静置	734
免疫力	733
收集	731
人参	712
溶剂	705
加工	700
胶囊剂	699
白术	692
蜂蜜	691
制得	685
煎	684
皮肤	682
。用于	681
花	680
调节	674
发酵	670
党参	667
降低	658
陈皮	650
白芍	645
混合物	642
红	640
效果	635
容器	629
食品	629
剂型	628
水浸泡	618
含量	611
慢性	606
冰片	606
糖尿病	605
煮沸	603
口服液	599
煮	590
两次	585
该药	584
剂	582
清洗	582
山楂	574
细粉	568
比例	568
称取	566
黄芩	566
减压浓缩	563
活血	561
高	559
分	559
止痛	557
型	554
清液	549
汤剂	547
杀菌	544
工艺	541
症	541
用水	538
配方	534
置于	534
枸杞子	533
微米	530
清热	521
。中药	521
丸剂	519
清热解毒	511
白芷	509
黄柏	505
SI	504
柴胡	502
LA	496
结构式	494
多种	494
药粉	492
