<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
，	148409
：	25400
。	18378
本发明	13341
；	11209
中	9647
重量	8593
治疗	7559
中药	7169
药物	6551
原料	6386
技术	5461
具有	4977
制成	4837
所述	4631
混合	4590
制备方法	4514
小时	4129
步骤	3987
制备	3790
组合物	3746
方案	3315
粉碎	3159
加	3113
分钟	3076
过滤	3009
制剂	2946
搅拌	2934
乙醇	2838
提取	2787
浓缩	2709
。本发明	2654
1.5	2654
煎煮	2630
滤液	2595
提供	2577
均匀	2569
粉	2526
取	2526
水	2472
合并	2465
干燥	2457
用于	2331
效果	2294
提取物	2267
功效	2219
组成	2209
0.5	2169
成	2165
配比	1978
∶	1957
0.1	1949
涉及	1874
成分	1850
备用	1826
提取液	1803
放入	1754
配方	1731
药材	1728
溶液	1704
疾病	1699
液	1690
当归	1682
浸泡	1629
例	1618
甘草	1612
次	1542
组分	1508
加水	1507
特征	1501
下述	1476
产品	1472
实施	1455
药液	1447
功能	1443
滤过	1428
黄芪	1409
加工	1378
时	1365
提高	1360
营养	1356
工艺	1330
温度	1319
活性	1289
倍	1276
1.0	1273
倍量	1266
即得	1261
含有	1256
保健	1250
药渣	1247
2.5	1232
回收	1190
人体	1181
含量	1165
比例	1157
目	1150
高	1141
辅料	1136
每次	1133
药	1133
分	1118
密度	1109
中草药	1107
胶囊	1106
优选	1101
而成	1095
适量	1082
茯苓	1073
颗粒	1054
丹参	1042
混匀	1020
溶剂	1019
方式	1007
疗效	1004
川芎	1002
洗净	993
植物	985
浸膏	985
烘干	982
份数	974
即可	972
容器	969
量	955
发明内容	950
改善	943
取出	939
溶解	935
金银花	914
技术领域	912
物质	903
生产	901
有益	898
食品	897
热	896
增强	894
冷	888
解决	885
原料药	876
干	870
灭菌	870
临床	864
剂	861
体积	859
服用	857
型	849
称取	838
收集	838
人参	835
质量	823
发酵	821
静置	815
片剂	811
所得	811
白术	808
粉末	806
多种	801
添加	798
皮肤	798
预防	798
时间	785
±	785
患者	783
包装	777
陈皮	770
白芍	766
成份	751
蜂蜜	751
天然	751
降低	750
